timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,
1.52308E+15,-17,-58,17,-4,86,3,-49,-81,-103
1.52308E+15,24,3,6,11,-73,0,-49,-1,-79
1.52308E+15,-15,-13,32,12,-12,-1,-67,-23,-87
1.52308E+15,-8,-7,-18,8,16,-13,109,-12,75
1.52308E+15,7,28,-17,-5,-39,-15,25,-114,-130
1.52308E+15,26,59,-3,-49,17,-28,-6,95,111
1.52308E+15,11,21,-11,-66,4,-7,-108,-34,-190
1.52308E+15,-16,15,16,-56,-36,-28,75,-31,-61
1.52308E+15,-16,-22,-28,-42,126,18,-31,14,19
1.52308E+15,-7,-41,20,5,-59,40,35,-20,-27
1.52308E+15,-2,27,2,11,22,-62,-102,-7,-111
1.52308E+15,14,-25,-19,17,-40,36,16,6,5
1.52308E+15,-4,4,-17,13,-23,-45,-2,49,-25
1.52308E+15,-8,-27,-1,39,9,84,30,-20,106
1.52308E+15,-14,-38,4,43,21,-15,-2,-27,-28
1.52308E+15,31,12,-17,22,9,-28,-30,40,39
1.52308E+15,-9,-12,0,8,-13,26,2,25,27
1.52308E+15,-36,-3,2,9,-55,-32,-26,-68,-209
1.52308E+15,29,29,-12,12,19,25,55,40,197
1.52308E+15,52,-47,4,-9,11,-10,-28,47,20
1.52308E+15,-24,78,1,39,-47,-5,-6,-13,23
1.52308E+15,-21,-35,5,-3,6,-21,-30,-46,-145
1.52308E+15,6,-10,4,1,-6,26,13,11,45
1.52308E+15,-1,-5,-12,-14,-17,-4,18,-24,-59
1.52308E+15,2,-16,9,2,107,22,4,33,163
1.52308E+15,-12,-31,14,-34,-3,-24,2,-4,-92
1.52308E+15,-3,13,2,-5,-35,13,13,3,1
1.52308E+15,-6,9,0,-3,-4,-48,-70,2,-120
1.52308E+15,-5,-29,-18,-12,-41,28,28,18,-31
1.52308E+15,-1,4,-1,-2,-6,15,28,-3,34
1.52308E+15,11,10,4,-10,62,-15,14,37,113
1.52308E+15,0,6,-5,-2,-23,-3,-10,-1,-38
1.52308E+15,-13,6,-4,0,-29,-4,-13,-19,-76
1.52308E+15,7,4,4,12,17,-14,-18,13,25
1.52308E+15,-31,7,3,-3,6,10,15,-33,-26
1.52308E+15,36,1,-1,2,-24,-21,4,53,50
1.52308E+15,-3,-1,-11,-28,-64,18,-4,-38,-131
1.52308E+15,-22,-8,1,14,121,-20,-33,-45,8
1.52308E+15,0,-4,-1,-6,-28,9,26,-25,-29
1.52308E+15,4,10,3,-5,-40,5,26,38,41
1.52308E+15,3,-3,-1,5,67,3,9,-9,74
1.52308E+15,12,-3,-2,-10,-1,11,2,32,41
1.52308E+15,-22,1,-13,-15,-35,-1,-7,-43,-135
