timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523080529596226,-80,-25,61,-8,-30,-30,0,-14
1523080529596226,-28,16,41,41,56,-41,-78,-65
1523080529612237,-64,-48,-83,30,44,-74,-30,-23
1523080529612237,-57,-102,-95,96,-25,-14,-17,66
1523080529618242,-43,108,84,-58,-100,72,20,-43
1523080529618242,-63,60,-10,-107,51,-76,6,101
1523080529626247,-47,-21,-11,25,32,-128,-86,-32
1523080529626247,14,50,68,-25,15,126,14,5
1523080529635253,19,-22,-74,14,18,-117,36,42
1523080529635253,-23,-34,-13,59,0,-98,-28,-38
1523080529649264,-21,23,-15,8,-9,-10,8,42
1523080529649264,-43,-59,-58,44,-97,-69,-50,-64
1523080529656270,-81,-54,8,28,47,86,49,91
1523080529656270,45,83,19,-54,-70,51,-5,-35
1523080529664275,9,52,104,-14,53,-4,6,35
1523080529664275,-24,-36,3,6,23,53,1,-39
1523080529679285,-3,-34,-62,32,-29,-1,19,13
1523080529679285,-96,-99,-69,47,-9,-60,-10,-42
1523080529686293,54,20,47,94,-18,73,3,93
1523080529686293,122,127,59,-128,-28,93,37,25
1523080529695300,-14,-13,-50,5,94,22,7,-19
1523080529695300,-33,-39,-44,1,-55,-20,-1,-13
1523080529717328,-3,-41,-12,23,-11,-32,-2,-27
1523080529717328,9,-43,-64,69,-1,-80,-36,-38
1523080529719314,-57,35,44,-74,59,-34,-25,-51
1523080529719314,19,14,-4,-30,-16,127,60,-21
1523080529723320,10,11,50,53,13,-43,3,-5
1523080529723320,-10,-44,-56,-68,-3,-18,-2,37
1523080529738330,-54,-89,-35,119,7,-128,-91,-28
1523080529738330,-63,62,116,-79,-17,100,73,-14
1523080529746346,-77,50,20,-124,35,-103,-12,20
1523080529746346,-113,-45,-44,-49,21,-114,-24,-16
1523080529761342,19,5,-54,26,-30,-29,11,38
1523080529761342,-57,-47,-4,100,-4,-79,-57,-34
1523080529769362,37,-7,17,-19,51,-58,-59,-18
1523080529769362,-44,56,12,70,77,61,93,48
1523080529784373,90,45,60,27,17,-88,22,5
1523080529784373,-46,-50,-76,-12,63,-76,-11,24
1523080529785380,122,28,-40,-89,-21,-128,-65,-3
1523080529785380,-32,-9,-35,79,-85,30,43,-1
1523080529798379,106,-7,31,-85,16,-38,-39,-38
1523080529798379,127,32,26,-28,-6,-87,48,40
1523080529806388,-97,-4,6,7,-28,-38,9,-1
1523080529806388,-36,-41,-3,16,34,-46,-56,-48
1523080529821399,-14,9,-29,-120,-47,-39,-11,25
1523080529821399,11,-6,15,99,-32,12,-33,-13
1523080529829405,-67,-57,-56,67,-7,24,41,18
1523080529829405,0,6,35,54,60,9,10,19
1523080529844406,-55,50,60,19,28,52,26,25
1523080529844406,67,31,-24,-27,23,-110,-81,68
1523080529845413,86,-6,-1,41,-31,27,18,4
1523080529845413,30,-11,-23,-31,-12,-33,-34,36
1523080529858422,25,7,-72,-80,1,-24,-8,-2
1523080529858422,120,55,75,-16,54,40,44,6
1523080529866427,2,3,12,-6,-43,-65,45,-22
1523080529866427,2,-25,-2,-45,-72,-128,-54,-33
1523080529881441,-14,-65,-72,5,-11,-123,-85,-52
1523080529881441,-23,23,-49,37,-28,95,71,45
1523080529889448,-19,41,127,-14,5,-69,4,-8
1523080529889448,95,-26,38,-37,36,-128,-24,30
1523080529904458,-66,-5,-35,42,-88,-40,-52,-51
1523080529904458,-62,-94,-119,2,81,-69,-48,-6
1523080529911454,-15,62,96,1,-30,50,2,-15
1523080529911454,53,47,-29,-14,-87,-75,-38,-12
1523080529918465,-65,-47,-32,30,68,-67,-2,-4
1523080529918465,-9,-12,0,-15,0,-25,23,-7
1523080529926460,9,-47,-93,-14,34,-109,-60,4
1523080529926460,-128,-86,-36,5,127,-102,-58,-57
1523080529941481,127,117,96,7,-82,102,120,29
1523080529941481,40,26,57,-14,104,-13,4,-18
1523080529949486,-21,-13,12,-2,63,-61,-56,-20
1523080529949486,-23,-17,-70,-3,-44,-72,-13,-21
1523080529964497,-56,-69,-65,-4,-48,-128,-63,-4
1523080529964497,-12,37,39,20,-128,56,30,7
1523080529965498,-44,8,9,-15,33,-9,65,15
1523080529965498,-6,26,36,-12,-19,-28,-20,10
1523080529979561,-22,19,39,7,-69,24,12,15
1523080529979561,-29,-16,-12,1,34,-37,-34,-16
1523080529994508,12,-11,-21,-1,-1,75,16,-1
1523080529994508,2,1,3,-7,-19,85,21,3
1523080530001523,-7,18,31,7,2,76,24,23
1523080530001523,-21,-5,14,0,13,-16,-37,-39
1523080530009529,29,-4,-23,-8,-20,38,20,25
1523080530009529,10,20,18,4,70,51,29,19
1523080530032535,7,-21,1,4,-40,35,1,-7
1523080530032535,-15,-30,-25,1,-46,-33,-12,0
1523080530033536,-5,9,20,-1,43,34,-4,-1
1523080530033536,10,18,19,1,-37,27,9,-4
1523080530038542,-24,-34,-37,4,109,-7,-12,-16
1523080530038542,-21,-9,-16,0,-43,-45,-25,-8
1523080530046555,-15,6,-5,2,-107,-13,-7,-11
1523080530046555,13,13,23,0,-26,20,2,-5
1523080530070582,24,-15,3,3,82,43,62,62
1523080530070582,-3,23,-2,-3,16,-28,-11,-1
1523080530070582,12,9,8,1,-20,-9,-11,0
1523080530070582,6,10,34,1,61,33,-26,-13
1523080530084572,-9,-8,-8,-3,-2,-19,9,0
1523080530084572,-26,-21,-7,-2,-94,-27,-2,-16
1523080530085573,-3,-7,-23,-5,-34,-8,-35,-5
1523080530085573,6,5,-37,-13,39,-15,68,14
1523080530098582,-2,5,-38,-19,-25,49,-28,-1
1523080530098582,-5,-5,-17,-46,55,27,-37,-24
1523080530106587,3,-1,-25,6,17,-3,48,25
1523080530106587,-9,-24,-64,-11,-49,-2,70,4
1523080530121599,7,4,-18,-8,-28,-56,-14,14
1523080530121599,11,15,28,24,33,43,-5,1
1523080530129605,-3,-9,17,10,20,-6,-48,-17
1523080530129605,3,4,46,5,31,40,-21,-7
1523080530144617,-9,-6,74,34,-19,-21,-6,-17
1523080530144617,-10,-13,77,42,-27,-43,-8,-2
1523080530145616,7,6,98,-15,27,22,5,-4
1523080530145616,11,13,20,-10,3,-5,-4,9
1523080530158627,-8,-8,-46,43,-15,22,3,-18
1523080530158627,14,-3,-72,-21,4,-18,19,29
1523080530166651,-3,1,-108,8,13,3,20,-5
1523080530166651,9,10,0,-4,42,32,2,6
1523080530189647,-1,-10,17,-33,-67,-11,-18,-1
1523080530189647,-18,-9,-1,8,-13,-14,-7,-15
1523080530190648,-4,-4,6,64,-24,-21,-12,-4
1523080530190648,3,14,-1,12,-3,-2,-6,7
1523080530204672,-5,3,-44,-43,57,-27,7,-9
1523080530204672,2,-7,-30,-18,-62,75,16,8
1523080530205663,8,0,2,-1,-5,26,7,7
1523080530205663,3,-3,-5,-30,18,17,-11,-2
1523080530218707,-10,0,4,-16,2,5,16,-16
1523080530218707,-5,-7,8,15,16,-48,-11,-3
1523080530226690,-6,-1,-12,-15,6,-2,-16,-7
1523080530226690,3,-2,29,5,-10,16,5,5
1523080530241713,9,7,15,24,7,-3,4,1
1523080530241713,1,-3,-26,-24,20,-7,6,9
1523080530249690,-2,9,33,-16,13,22,10,-2
1523080530249690,-13,-15,0,25,-42,-22,-39,-9
